person_id,name
0,Denis Villeneuve
1,Jon Spaihts
2,Eric Roth
3,Timothée Chalamet
4,Rebecca Ferguson
5,Zendaya
6,Sarah Smith
7,Jean-Philippe Vine
8,Octavio E. Rodriguez
9,Peter Baynham
10,Zach Galifianakis
11,Jack Dylan Grazer
12,Olivia Colman
13,Joanna Hogg
14,Tilda Swinton
15,Honor Swinton Byrne
16,James Spencer Ashworth
17,Pablo Larraín
18,Steven Knight
19,Kristen Stewart
20,Timothy Spall
21,Jack Nielen
22,Eva Husson
23,Alice Birch
24,Graham Swift
25,Glenda Jackson
26,Colin Firth
27,Stephen Karam
28,Beanie Feldstein
29,Steven Yeun
30,Richard Jenkins
31,Sean Baker
32,Chris Bergoch
33,Simon Rex
34,Bree Elrod
35,Brenda Deiss
36,Todd Stephens
37,Udo Kier
38,Jennifer Coolidge
39,Linda Evans
